Penn St.,12.75,40.80889,-77.85583,,,,,,,,,,,,,,,,,,
Pepperdine,-0.51,34.038571,-118.709625,,,,,,,,,,,,,,,,,,
Pittsburgh,16.73,40.443777,-79.962274,,,,,,,,,,,,,,,,,,
Portland,-3.51,45.575,-122.728,,,,,,,,,,,,,,,,,,
Portland St.,-7.3,45.510987,-122.687471,,,,,,,,,,,,,,,,,,
Prairie View A&M,-17.27,30.092278,-95.993083,,,,,,,,,,,,,,,,,,
Presbyterian,-13.77,34.465,-81.869,,,,,,,,,,,,,,,,,,
Princeton,1.3,40.343449,-74.648595,,,,,,,,,,,,,,,,,,
Providence,15.71,41.82361,-71.41833,,,,,,,,,,,,,,,,,,
Purdue,23.68,40.4333222,-86.9161444,,,,,,,,,,,,,,,,,,
Purdue Fort Wayne,-7.2,41.119,-85.1076,,,,,,,,,,,,,,,,,,
Queens,-8.26,35.97833,-79.99667,,,,,,,,,,,,,,,,,,
Quinnipiac,-9.06,41.413833,-72.911157,,,,,,,,,,,,,,,,,,
Radford,-7.54,37.1386,-80.541769,,,,,,,,,,,,,,,,,,
Rhode Island,4.19,41.4875,-71.53556,,,,,,,,,,,,,,,,,,
Rice,-3.42,29.715102,-95.403895,,,,,,,,,,,,,,,,,,
Richmond,4.53,37.580701,-77.538987,,,,,,,,,,,,,,,,,,
Rider,-6.91,40.2788,-74.7354,,,,,,,,,,,,,,,,,,
Robert Morris,-7.63,40.520212,-80.21476,,,,,,,,,,,,,,,,,,
Rutgers,11.47,40.52528,-74.44111,,,,,,,,,,,,,,,,,,
Sacramento St.,-11.84,38.561903,-121.426878,,,,,,,,,,,,,,,,,,
Sacred Heart,-12.33,41.2194389,-73.2446278,,,,,,,,,,,,,,,,,,
Saint Francis,-15.54,40.5045104,-78.6433036,,,,,,,,,,,,,,,,,,
Saint Joseph's,5.21,39.995245,-75.234806,,,,,,,,,,,,,,,,,,
Saint Louis,5.51,38.63246,-90.22797,,,,,,,,,,,,,,,,,,
Saint Mary's,11.5,37.841247,-122.106409,,,,,,,,,,,,,,,,,,
